Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	BUYER	STEVE		O	IN04	2008	5/14/2008	8135643
HONORABLE	CAPPS	LOIS		A	CA23	2008	5/20/2009	8140037
HONORABLE	CARSON	ANDRE		O	IN07	2008	5/14/2008	8135654
HONORABLE	CARTER	JOHN R.		A	TX31	2008	7/23/2008	8138974
HONORABLE	CAZAYOUX	DONALD J.	JR.	O	LA06	2008	6/5/2008	8138008
HONORABLE	CLEAVER	EMANUEL		A	MO05	2008	10/22/2009	8143487
HONORABLE	DAVIS	LINCOLN		O	TN04	2008	6/11/2008	8138202
HONORABLE	DAVIS	TOM		T	VA11	2008	12/23/2009	8139579
HONORABLE	DICKS	NORMAN D.		O	WA06	2008	5/13/2008	8135691
HONORABLE	ENGEL	ELIOT L.		O	NY17	2008	5/15/2008	8135706
HONORABLE	ESHOO	ANNA G.		O	CA14	2008	5/14/2008	8135708
HONORABLE	FARR	SAM		A	CA17	2008	7/9/2008	8138829
HONORABLE	GONZALEZ	CHARLES A.		O	TX20	2008	4/30/2008	8207029
HONORABLE	GOODLATTE	BOB		O	VA06	2008	5/15/2008	8135735
HONORABLE	GRANGER	KAY		O	TX12	2008	6/20/2008	8138744
HONORABLE	HELLER	DEAN		A	NV02	2008	10/6/2008	8139318
HONORABLE	HERGER	WALLY		O	CA02	2008	6/16/2008	8138635
HONORABLE	HIRONO	MAZIE K.		O	HI02	2008	6/9/2008	8138013
HONORABLE	HOBSON	DAVID L.		O	OH07	2008	5/15/2008	8135859
HONORABLE	HOLDEN	TIM		O	PA17	2008	5/15/2008	8135860
HONORABLE	HONDA	MICHAEL M.		A	CA15	2008	5/12/2009	8140040
HONORABLE	JOHNSON	EDDIE BERNICE		O	TX30	2008	5/15/2008	8135873
HONORABLE	JOHNSON	SAM		O	TX03	2008	5/13/2008	8135875
HONORABLE	KAGEN	STEVE		O	WI08	2008	5/15/2008	8135880
HONORABLE	KANJORSKI	PAUL E.		O	PA11	2008	5/14/2008	8135881
HONORABLE	KAPTUR	MARCY		O	OH09	2008	5/14/2008	8135882
HONORABLE	LAMBORN	DOUG		A	CO05	2008	6/25/2008	8138791
HONORABLE	LARSON	JOHN B.		O	CT01	2008	5/15/2008	8135900
HONORABLE	LATTA	ROBERT E.		O	OH05	2008	5/12/2008	8135904
HONORABLE	LEWIS	JOHN		O	GA05	2008	6/16/2008	8138628
HONORABLE	MCHENRY	PATRICK T.		O	NC10	2008	5/14/2008	8135924
HONORABLE	MCNERNEY	JERRY		O	CA11	2008	5/13/2008	8135928
HONORABLE	MURPHY	CHRISTOPHER S.		O	CT05	2008	5/15/2008	8135952
HONORABLE	NEUGEBAUER	RANDY		O	TX19	2008	5/9/2008	8135961
HONORABLE	NORTON	ELEANOR HOLMES		O	DC00	2008	5/15/2008	8135962
HONORABLE	ORTIZ	SOLOMON P.		O	TX27	2008	5/15/2008	8135967
HONORABLE	PERLMUTTER	ED		O	CO07	2008	7/16/2008	8138897
	PETERS	GARY		A	MI09	2008	12/20/2013	8213689
HONORABLE	PETERSON	JOHN E.		A	PA05	2008	7/15/2008	8138898
HONORABLE	PETRI	THOMAS E.		O	WI06	2008	5/6/2008	8135976
HONORABLE	RADANOVICH	GEORGE		O	CA19	2008	5/14/2008	8135741
HONORABLE	RICHARDSON	LAURA		O	CA37	2008	5/19/2008	8135749
HONORABLE	SALI	BILL		O	ID01	2008	6/24/2008	8138766
HONORABLE	SCALISE	STEVE		O	LA01	2008	6/24/2008	8138767
HONORABLE	SCHAKOWSKY	JANICE D.		O	IL09	2008	5/15/2008	8135768
HONORABLE	SCHMIDT	JEAN		O	OH02	2008	5/21/2008	8135769
HONORABLE	SHAYS	CHRISTOPHER		O	CT04	2008	5/15/2008	8135777
HONORABLE	SMITH	LAMAR		A	TX21	2008	6/13/2008	8138501
HONORABLE	SOLIS	HILDA L.		A	CA32	2008	1/29/2009	8139645
HONORABLE	SOLIS	HILDA L.		O	CA32	2008	5/15/2008	8135791
HONORABLE	STEARNS	CLIFF		O	FL06	2008	5/14/2008	8135797
HONORABLE	STUPAK	BART		O	MI01	2008	5/15/2008	8135798
HONORABLE	TANCREDO	THOMAS G.		O	CO06	2008	4/22/2008	8135802
HONORABLE	TIERNEY	JOHN F.		O	MA06	2008	5/14/2008	8135812
HONORABLE	VAN HOLLEN	CHRIS		O	MD08	2008	5/16/2008	8135819
HONORABLE	VISCLOSKY	PETER J.		O	IN01	2008	5/14/2008	8135821
HONORABLE	WELCH	PETER		O	VT00	2008	5/22/2008	8135985
HONORABLE	WOOLSEY	LYNN C.		O	CA06	2008	5/15/2008	8135840
HONORABLE	WU	DAVID		O	OR01	2008	5/15/2008	8135841
HONORABLE	WYNN	ALBERT RUSSELL		T	MD04	2008	5/14/2008	8138354
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2008	5/15/2008	8135599
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2008	5/15/2008	8135604
HONORABLE	BACA	JOE		O	CA43	2008	5/15/2008	8135606
HONORABLE	BAIRD	BRIAN		O	WA03	2008	5/15/2008	8135608
HONORABLE	BAKER	RICHARD H.		T	LA06	2008	2/8/2008	8135061
HONORABLE	BARRETT	J. GRESHAM		O	SC03	2008	5/15/2008	8135610
HONORABLE	BARTON	JOE		A	TX06	2008	7/24/2008	8138935
HONORABLE	BARTON	JOE		O	TX06	2008	5/15/2008	8135613
HONORABLE	BEAN	MELISSA L.		O	IL08	2008	5/15/2008	8135614
HONORABLE	BERMAN	HOWARD L.		O	CA28	2008	6/26/2008	8138785
HONORABLE	BERRY	MARION		O	AR01	2008	5/15/2008	8135616
HONORABLE	BIGGERT	JUDY		O	IL13	2008	5/15/2008	8135617
HONORABLE	BOREN	DAN		O	OK02	2008	5/15/2008	8135631
HONORABLE	BURTON	DAN		O	IN05	2008	8/1/2008	8139026
HONORABLE	BUTTERFIELD	G. K.		O	NC01	2008	5/13/2008	8135642
