Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	FLYNN	WILLIAM		O	NC06	2012	9/14/2012	8208919
	FORMICA	PAUL M.		O	CT02	2012	7/9/2012	8208475
	FOSTER	GEORGE WILLIAM		O	IL11	2012	5/10/2012	9100885
HONORABLE	FOXX	VIRGINIA		X	NC05	2012	5/14/2012	8206856
HONORABLE	FOXX	VIRGINIA		O	NC05	2012	7/17/2012	8206679
	FRANKEL	LOIS J.		X	FL22	2012	5/22/2012	8207082
	FRANKEL	LOIS J.		O	FL22	2012	6/11/2012	8208884
	GARCIA	MARK		O	CA33	2012	9/17/2012	8208748
	GILL	RANJIT (RICKY) S.		O	CA11	2012	11/7/2012	8209422
HONORABLE	GINGREY	PHIL		O	GA11	2012	7/16/2012	8206597
	GOODWIN	LORAINE		D	CA16	2012	10/19/2012	8209283
HONORABLE	GRAVES	TOM		O	GA09	2012	5/15/2012	8205473
HONORABLE	GREEN	AL		O	TX09	2012	5/15/2012	8205474
HONORABLE	GREEN	GENE		O	TX29	2012	5/9/2012	8205475
	GREENE	JASON		O	MO05	2012	7/25/2012	8208511
	GREENE	KELLIE		O	NY23	2012	5/23/2012	8208865
	GRISHAM	MICHELLE LUJAN		O	NM01	2012	5/15/2012	8208574
	GRISHAM	MICHELLE LUJAN		A	NM01	2012	5/15/2013	8210431
HONORABLE	GUINTA	FRANK C.		A	NH01	2012	8/31/2012	8207807
	GUSSEN	ADAM		O	NJ05	2012	10/3/2012	8209069
HONORABLE	COOPER	JIM		A	TN05	2012	8/16/2012	8207564
	COTTON	THOMAS BRYANT		A	AR04	2012	12/26/2012	8209586
	COWAN	RICH		D	WA05	2012	5/22/2013	9103144
	COX	JOHN R.		O	AK00	2012	4/19/2012	8208122
	CRAMER	KEVIN		O	ND00	2012	10/12/2012	8209152
HONORABLE	CRAVAACK	CHIP		O	MN08	2012	8/15/2012	8207548
HONORABLE	CRAWFORD	ERIC A. "RICK"		O	AR01	2012	5/15/2012	8205417
HONORABLE	CROWLEY	JOSEPH		A	NY07	2012	6/19/2012	8206429
	DECOURT-PARK	SHIRLEY		W	CA52	2012	5/3/2012	8206948
	DELBENE	SUZAN K.		O	WA01	2012	5/16/2012	8208617
	DELEON	DONALD RAMON		D	TX27	2012	4/23/2012	8207737
	DELONG	GARY		O	CA47	2012	10/31/2012	8209359
	DENNIS	JOHN		O	CA12	2012	5/16/2012	8208603
	DIEBEL	KAREN		O	FL26	2012	4/1/2013	8210068
